------ZERO LAYER RESULTS-------
PREDICTED: 1.5313194086141269, ACTUAL: 6.995619625423205
PREDICTED: 2.223769680322461, ACTUAL: 0.0
PREDICTED: 0.7589214457969561, ACTUAL: 0.0
PREDICTED: 1.6453334886406197, ACTUAL: 0.0
PREDICTED: 0.697821400441968, ACTUAL: 0.0
PREDICTED: 1.5027329873825375, ACTUAL: 0.0
PREDICTED: 1.0390926752691674, ACTUAL: 0.0
PREDICTED: 1.076153256313639, ACTUAL: 0.0
PREDICTED: 1.489051667894853, ACTUAL: 0.0
PREDICTED: 0.711267218595533, ACTUAL: 0.0
PREDICTED: 0.5685954182646655, ACTUAL: 0.0
PREDICTED: 0.47753343104688595, ACTUAL: 0.0
PREDICTED: 1.059245719288873, ACTUAL: 0.0
PREDICTED: 0.8617623315690407, ACTUAL: 0.0
PREDICTED: 1.474329020564607, ACTUAL: 0.0
PREDICTED: 0.4949784156113193, ACTUAL: 0.0
PREDICTED: 0.4101065187791839, ACTUAL: 0.0
PREDICTED: 0.7323373675330148, ACTUAL: 0.0
PREDICTED: 1.2724291614437928, ACTUAL: 0.0
PREDICTED: 0.7489691899812159, ACTUAL: 0.0
PREDICTED: 1.567304747495652, ACTUAL: 0.0
PREDICTED: 0.7655566476435176, ACTUAL: 0.0
PREDICTED: 1.0130249179111686, ACTUAL: 0.0
PREDICTED: 0.8343780698116608, ACTUAL: 0.0
PREDICTED: 1.2680151930948953, ACTUAL: 0.0
PREDICTED: 1.4323421459027712, ACTUAL: 0.0
PREDICTED: 1.2135982264344944, ACTUAL: 0.0
PREDICTED: 0.7798667036395364, ACTUAL: 0.0
PREDICTED: 1.1809958401080543, ACTUAL: 0.0
PREDICTED: 1.222620558551129, ACTUAL: 0.0
PREDICTED: 0.6070482304148783, ACTUAL: 0.0
------ONE LAYER RESULTS-------
PREDICTED: 1.470053565855566, ACTUAL: 6.995619625423205
PREDICTED: 1.2527089355780576, ACTUAL: 5.285637313390662
PREDICTED: 1.2942444623554787, ACTUAL: 4.566221435849517
PREDICTED: 0.8504562852812283, ACTUAL: 4.267176792994939
PREDICTED: 0.38821622408592343, ACTUAL: 4.012592060349841
PREDICTED: 0.8064632439189762, ACTUAL: 3.7914360424390283
PREDICTED: 1.236813598846679, ACTUAL: 3.6560979645895566
PREDICTED: 0.7251780132380796, ACTUAL: 3.492256112609122
PREDICTED: 1.162069640541076, ACTUAL: 3.392492941032009
PREDICTED: 1.1657966791554826, ACTUAL: 3.3006401266708405
PREDICTED: 0.4772978044463136, ACTUAL: 3.2280337626529665
PREDICTED: 2.1813314089977234, ACTUAL: 2.93651291389402
PREDICTED: 1.1132431157894807, ACTUAL: 2.800325477211381
PREDICTED: 0.5383815438102592, ACTUAL: 2.7073833121145063
PREDICTED: 0.6987341847056514, ACTUAL: 2.5726122302071057
PREDICTED: 2.1980019396466446, ACTUAL: 2.5006159434931803
PREDICTED: 2.121771994534621, ACTUAL: 2.462149662665384
PREDICTED: 1.052654348392681, ACTUAL: 2.3988039507345884
PREDICTED: 1.5596194934185357, ACTUAL: 2.329227023940467
PREDICTED: 0.8251782735587123, ACTUAL: 2.2700619012884857
PREDICTED: 0.8996014583672757, ACTUAL: 2.199444334074532
PREDICTED: 1.232660839020804, ACTUAL: 2.1234584270966104
PREDICTED: 1.349275447877657, ACTUAL: 2.0844290831908747
PREDICTED: 1.1290234951819154, ACTUAL: 2.0255131996542803
PREDICTED: 1.0186345626718571, ACTUAL: 2.005525858729668
PREDICTED: 0.9976403123376042, ACTUAL: 1.9416152247724325
PREDICTED: 0.6546472025031495, ACTUAL: 1.8794650496471605
PREDICTED: 1.1341176052771849, ACTUAL: 1.8213182714695995
PREDICTED: 1.3591448370913322, ACTUAL: 1.7263316639055997
PREDICTED: 0.5142660802348827, ACTUAL: 1.6582280766035324
PREDICTED: 0.8141468772672668, ACTUAL: 1.5496879080283263
PREDICTED: 1.4528652056284341, ACTUAL: 1.4701758451005926
PREDICTED: 0.7228743693723776, ACTUAL: 1.430311246536665
PREDICTED: 1.0767116853769303, ACTUAL: 1.3532545070416904
PREDICTED: 1.3866776540302055, ACTUAL: 1.2725655957915476
PREDICTED: 1.2189093645717461, ACTUAL: 1.235471471385307
PREDICTED: 0.9799456010758331, ACTUAL: 1.1537315878891892
PREDICTED: 1.1114550101483953, ACTUAL: 1.1085626195212777
PREDICTED: 1.527627276644083, ACTUAL: 1.0784095813505903
PREDICTED: 1.0427324191493883, ACTUAL: 1.000631880307906
PREDICTED: 0.705793646650107, ACTUAL: 0.9669838461896731
PREDICTED: 0.9178821238465348, ACTUAL: 0.9042181506398858
PREDICTED: 1.1227249609306165, ACTUAL: 0.8586616190375188
PREDICTED: 1.1139608162615753, ACTUAL: 0.7419373447293773
PREDICTED: 0.7858435510744949, ACTUAL: 0.6678293725756554
PREDICTED: 0.5824585743565408, ACTUAL: 0.5596157879354227
PREDICTED: 1.089446373206234, ACTUAL: 0.47623417899637155
PREDICTED: 0.7480563701321465, ACTUAL: 0.3576744442718159
PREDICTED: 1.0464167414536758, ACTUAL: 0.1906203596086497
PREDICTED: 0.634440640017312, ACTUAL: 0.0
PREDICTED: 1.474806820708291, ACTUAL: 0.0
PREDICTED: 0.7742373501761753, ACTUAL: 0.0
PREDICTED: 1.0409087803279757, ACTUAL: 0.0
PREDICTED: 1.3574241696313791, ACTUAL: 0.0
PREDICTED: 1.6952287140678086, ACTUAL: 0.0
PREDICTED: 2.100799128864407, ACTUAL: 0.0
PREDICTED: 1.3591028371883096, ACTUAL: 0.0
PREDICTED: 1.3322641813024687, ACTUAL: 0.0
PREDICTED: 1.014920731348593, ACTUAL: 0.0
PREDICTED: 1.2446097414403625, ACTUAL: 0.0
PREDICTED: 1.1079890843768747, ACTUAL: 0.0
PREDICTED: 1.2221509210440076, ACTUAL: 0.0
PREDICTED: 1.1975246680237122, ACTUAL: 0.0
PREDICTED: 0.7426688977029884, ACTUAL: 0.0
PREDICTED: 1.7396982402259449, ACTUAL: 0.0
PREDICTED: 0.7811289806788868, ACTUAL: 0.0
PREDICTED: 1.600219878908509, ACTUAL: 0.0
PREDICTED: 0.6367435486078752, ACTUAL: 0.0
PREDICTED: 1.4113285671126399, ACTUAL: 0.0
PREDICTED: 0.9958836495558069, ACTUAL: 0.0
PREDICTED: 1.0516548361172469, ACTUAL: 0.0
PREDICTED: 1.4488605761264461, ACTUAL: 0.0
PREDICTED: 0.7007328219693868, ACTUAL: 0.0
PREDICTED: 0.533450168434404, ACTUAL: 0.0
PREDICTED: 0.44917997920272906, ACTUAL: 0.0
PREDICTED: 1.040401566892631, ACTUAL: 0.0
PREDICTED: 0.8679388257754904, ACTUAL: 0.0
PREDICTED: 1.4270401205015737, ACTUAL: 0.0
PREDICTED: 0.4791960205926788, ACTUAL: 0.0
PREDICTED: 0.363811528414056, ACTUAL: 0.0
PREDICTED: 0.7074265442383656, ACTUAL: 0.0
PREDICTED: 1.2009029596904208, ACTUAL: 0.0
PREDICTED: 0.7312981528662218, ACTUAL: 0.0
PREDICTED: 1.491092878346983, ACTUAL: 0.0
PREDICTED: 0.7466065057005483, ACTUAL: 0.0
PREDICTED: 1.004852560406003, ACTUAL: 0.0
PREDICTED: 0.7458511165260372, ACTUAL: 0.0
PREDICTED: 1.263257953720727, ACTUAL: 0.0
PREDICTED: 1.359308077702421, ACTUAL: 0.0
PREDICTED: 1.0447498285028884, ACTUAL: 0.0
PREDICTED: 0.7529672516907638, ACTUAL: 0.0
PREDICTED: 1.1269497327776699, ACTUAL: 0.0
PREDICTED: 1.1651226582295358, ACTUAL: 0.0
PREDICTED: 0.5980947138478651, ACTUAL: 0.0
------TWO LAYER RESULTS-------
PREDICTED: 1.3839408876335273, ACTUAL: 6.995619625423205
PREDICTED: 1.3353113527040759, ACTUAL: 5.285637313390662
PREDICTED: 1.1223665920804267, ACTUAL: 4.566221435849517
PREDICTED: 1.0195419359412796, ACTUAL: 4.267176792994939
PREDICTED: 0.775320555600836, ACTUAL: 4.012592060349841
PREDICTED: 0.9242361308841189, ACTUAL: 3.7914360424390283
PREDICTED: 1.3198837916915849, ACTUAL: 3.6560979645895566
PREDICTED: 0.9706189993083574, ACTUAL: 3.492256112609122
PREDICTED: 1.2092042270033845, ACTUAL: 3.392492941032009
PREDICTED: 1.187245669299844, ACTUAL: 3.3006401266708405
PREDICTED: 0.9213987585958214, ACTUAL: 3.2280337626529665
PREDICTED: 1.5641252683856874, ACTUAL: 2.93651291389402
PREDICTED: 1.0979159510210554, ACTUAL: 2.800325477211381
PREDICTED: 0.7755056935721629, ACTUAL: 2.7073833121145063
PREDICTED: 0.8775728042194515, ACTUAL: 2.5726122302071057
PREDICTED: 1.4231362988623106, ACTUAL: 2.5006159434931803
PREDICTED: 1.5019818362740207, ACTUAL: 2.462149662665384
PREDICTED: 1.043969376898864, ACTUAL: 2.3988039507345884
PREDICTED: 0.9339901163663635, ACTUAL: 2.329227023940467
PREDICTED: 0.8661225939545238, ACTUAL: 2.2700619012884857
PREDICTED: 0.9666418212736134, ACTUAL: 2.199444334074532
PREDICTED: 0.9953911479248212, ACTUAL: 2.1234584270966104
PREDICTED: 1.189308962932816, ACTUAL: 2.0844290831908747
PREDICTED: 1.1549909922455603, ACTUAL: 2.0255131996542803
PREDICTED: 1.0446026333868523, ACTUAL: 2.005525858729668
PREDICTED: 1.0893044998102484, ACTUAL: 1.9416152247724325
PREDICTED: 0.8939726779218293, ACTUAL: 1.8794650496471605
PREDICTED: 1.1267572440615876, ACTUAL: 1.8213182714695995
PREDICTED: 1.3654876284456308, ACTUAL: 1.7263316639055997
PREDICTED: 0.7397464518794534, ACTUAL: 1.6582280766035324
PREDICTED: 0.9913600615436617, ACTUAL: 1.5496879080283263
PREDICTED: 0.8952268814259197, ACTUAL: 1.4701758451005926
PREDICTED: 1.0092599920350394, ACTUAL: 1.430311246536665
PREDICTED: 1.139324138289352, ACTUAL: 1.3532545070416904
PREDICTED: 1.1912397494883014, ACTUAL: 1.2725655957915476
PREDICTED: 1.178579359092465, ACTUAL: 1.235471471385307
PREDICTED: 1.37227949846428, ACTUAL: 1.1537315878891892
PREDICTED: 1.223212934583757, ACTUAL: 1.1085626195212777
PREDICTED: 1.735323828760383, ACTUAL: 1.0784095813505903
PREDICTED: 1.136986561753479, ACTUAL: 1.000631880307906
PREDICTED: 0.8730871569628222, ACTUAL: 0.9669838461896731
PREDICTED: 0.9724062670977351, ACTUAL: 0.9042181506398858
PREDICTED: 1.0774005235252384, ACTUAL: 0.8586616190375188
PREDICTED: 0.8822802677852133, ACTUAL: 0.7419373447293773
PREDICTED: 1.0452197575051037, ACTUAL: 0.6678293725756554
PREDICTED: 0.5823484488363806, ACTUAL: 0.5596157879354227
PREDICTED: 1.2954364581619953, ACTUAL: 0.47623417899637155
PREDICTED: 1.1239417713491233, ACTUAL: 0.3576744442718159
PREDICTED: 1.0888317788345658, ACTUAL: 0.1906203596086497
PREDICTED: 0.9677933496135882, ACTUAL: 0.0
PREDICTED: 1.3975512281881823, ACTUAL: 0.0
PREDICTED: 0.6868520822829025, ACTUAL: 0.0
PREDICTED: 1.073359018915734, ACTUAL: 0.0
PREDICTED: 1.290710717246095, ACTUAL: 0.0
PREDICTED: 1.5817467460397572, ACTUAL: 0.0
PREDICTED: 1.8992297493009553, ACTUAL: 0.0
PREDICTED: 1.2576996884519465, ACTUAL: 0.0
PREDICTED: 1.3545032189077018, ACTUAL: 0.0
PREDICTED: 1.156997368638262, ACTUAL: 0.0
PREDICTED: 1.1571640087677963, ACTUAL: 0.0
PREDICTED: 1.2053348541290736, ACTUAL: 0.0
PREDICTED: 1.2596888762816418, ACTUAL: 0.0
PREDICTED: 1.240073041010618, ACTUAL: 0.0
PREDICTED: 0.9437361128702701, ACTUAL: 0.0
PREDICTED: 0.858706381893293, ACTUAL: 0.0
PREDICTED: 1.0509606574661439, ACTUAL: 0.0
PREDICTED: 1.4112651272798333, ACTUAL: 0.0
PREDICTED: 0.697058188340731, ACTUAL: 0.0
PREDICTED: 0.7476223631294128, ACTUAL: 0.0
PREDICTED: 0.9470311645734464, ACTUAL: 0.0
PREDICTED: 1.1082878135878984, ACTUAL: 0.0
PREDICTED: 1.303557491803338, ACTUAL: 0.0
PREDICTED: 1.0367755256740943, ACTUAL: 0.0
PREDICTED: 0.8619687396531293, ACTUAL: 0.0
PREDICTED: 0.8891955605044133, ACTUAL: 0.0
PREDICTED: 1.089618128185897, ACTUAL: 0.0
PREDICTED: 1.1354053206433445, ACTUAL: 0.0
PREDICTED: 1.2007431442268184, ACTUAL: 0.0
PREDICTED: 0.6588822918860349, ACTUAL: 0.0
PREDICTED: 0.6313619135576685, ACTUAL: 0.0
PREDICTED: 1.064597194605567, ACTUAL: 0.0
PREDICTED: 1.1038469538315423, ACTUAL: 0.0
PREDICTED: 0.9376558836723359, ACTUAL: 0.0
PREDICTED: 1.2564113475243504, ACTUAL: 0.0
PREDICTED: 1.0369015021879087, ACTUAL: 0.0
PREDICTED: 1.097735802112503, ACTUAL: 0.0
PREDICTED: 1.1589005638221705, ACTUAL: 0.0
PREDICTED: 1.286625716081337, ACTUAL: 0.0
PREDICTED: 1.2005252755183309, ACTUAL: 0.0
PREDICTED: 0.6276878485923207, ACTUAL: 0.0
PREDICTED: 1.0514380351988073, ACTUAL: 0.0
PREDICTED: 1.0905385844823965, ACTUAL: 0.0
PREDICTED: 1.1596149826041715, ACTUAL: 0.0
PREDICTED: 1.08403237405325, ACTUAL: 0.0
--------------HOLD OUT SET: 1---------------
Zero Hidden Layers Mean Aboslute Error: 1.1569364905800208
One Hidden Layer Mean Aboslute Error: 1.1514416669601522
Two Hidden Layers Mean Aboslute Error: 1.1841163730944873

--------------HOLD OUT SET: 2---------------
Zero Hidden Layers Mean Aboslute Error: 1.2577481999488584
One Hidden Layer Mean Aboslute Error: 1.2903174610377997
Two Hidden Layers Mean Aboslute Error: 1.1950483562031928

--------------HOLD OUT SET: 3---------------
Zero Hidden Layers Mean Aboslute Error: 1.19620787715373
One Hidden Layer Mean Aboslute Error: 1.184954830930705
Two Hidden Layers Mean Aboslute Error: 1.1548688529676499

--------------HOLD OUT SET: 4---------------
Zero Hidden Layers Mean Aboslute Error: 1.1152570601064085
One Hidden Layer Mean Aboslute Error: 1.0904025393904007
Two Hidden Layers Mean Aboslute Error: 1.144293761436576

--------------HOLD OUT SET: 5---------------
Zero Hidden Layers Mean Aboslute Error: 1.1551106648676221
One Hidden Layer Mean Aboslute Error: 1.1727578605249511
Two Hidden Layers Mean Aboslute Error: 1.1547180048412458

--------------AVERAGE PERFORMANCE---------------
Zero Hidden Layers Mean Aboslute Error: 1.176252058531328
One Hidden Layer Mean Aboslute Error: 1.1779748717688017
Two Hidden Layers Mean Aboslute Error: 1.1666090697086304

